UID,Chemical,Time,Temperature,Na,Cu,O,Fe,Mn,Ni,P2O3ratio,Cat_Success
U00128,Na0.5Fe0.5Mn0.5O2,3,950,0.5,0.0,2.0,0.5,0.5,0.0,1.0,Successful
U00129,Na0.5Fe0.5Ni0.5O2,3,950,0.5,0.0,2.0,0.5,0.0,0.5,-1.0,Unsuccessful
U00130,Na0.5Mn0.5Ni0.5O2,3,950,0.5,0.0,2.0,0.0,0.5,0.5,-1.0,Unsuccessful
U00131,Na0.5Cu1/3Fe1/3Mn1/3O2,3,950,0.5,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,1.0,Successful
U00132,Na0.5Cu1/3Fe1/3Ni1/3O2,3,950,0.5,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,-1.0,Unsuccessful
U00133,Na0.5Cu1/3Mn1/3Ni1/3O2,3,950,0.5,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,Successful
U00134,Na0.5Fe1/3Mn1/3Ni1/3O2,3,950,0.5,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,Successful
U00135,Na0.5Cu0.25Fe0.25Mn0.25Ni0.25O2,3,950,0.5,0.25,2.0,0.25,0.25,0.25,0.95,Successful
U00136,NaMn2/3Cu1/6Fe1/6O2,12,950,1.0,0.16666666666666666,2.0,0.16666666666666666,0.6666666666666666,0.0,1.0,Successful
U00137,NaNi2/3Fe1/6Cu1/6O2,12,950,1.0,0.16666666666666666,2.0,0.16666666666666666,0.0,0.6666666666666666,-1.0,Unsuccessful
U00138,NaMn2/3Ni1/6Cu1/6O2,12,950,1.0,0.16666666666666666,2.0,0.0,0.6666666666666666,0.16666666666666666,1.0,Successful
U00139,NaMn2/3Fe1/6Ni1/6O2,12,950,1.0,0.0,2.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.0,Successful
U00140,NaFe2/3Cu1/6Mn1/6O2,12,950,1.0,0.16666666666666666,2.0,0.6666666666666666,0.16666666666666666,0.0,0.21,Successful
U00141,NaFe2/3Cu1/6Ni1/6O2,12,950,1.0,0.16666666666666666,2.0,0.6666666666666666,0.0,0.16666666666666666,-1.0,Unsuccessful
U00142,NaNi2/3Cu1/6Mn1/6O2,12,950,1.0,0.16666666666666666,2.0,0.0,0.16666666666666666,0.6666666666666666,0.0,Successful
U00143,NaFe2/3Ni1/6Mn1/6O2,12,950,1.0,0.0,2.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.25,Successful
U00144,NaCu2/3Fe1/6Mn1/6O2,12,950,1.0,0.6666666666666666,2.0,0.16666666666666666,0.16666666666666666,0.0,0.72,Successful
U00145,NaCu2/3Ni1/6Fe1/6O2,12,950,1.0,0.6666666666666666,2.0,0.16666666666666666,0.0,0.16666666666666666,-1.0,Unsuccessful
U00146,NaCu2/3Ni1/6Mn1/6O2,12,950,1.0,0.6666666666666666,2.0,0.0,0.16666666666666666,0.16666666666666666,1.0,Successful
U00147,NaNi2/3Fe1/6Mn1/6O2,12,950,1.0,0.0,2.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.7,Successful
U00148,NaCu2/3Ni1/9Mn1/9Fe1/9O2,12,950,1.0,0.6666666666666666,2.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,Successful
U00149,NaFe2/3Cu1/9Mn1/9Ni1/9O2,12,950,1.0,0.1111111111111111,2.0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,Successful
U00150,NaNi2/3Fe1/9Cu1/9Mn1/9O2,12,950,1.0,0.1111111111111111,2.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,1.0,Successful
U00151,NaMn2/3Cu1/9Fe1/9Ni1/9O2,12,950,1.0,0.1111111111111111,2.0,0.1111111111111111,0.6666666666666666,0.1111111111111111,1.0,Successful
U00152,NaMn1/9Cu8/27Fe8/27Ni8/27O2,12,950,1.0,0.2962962962962963,2.0,0.2962962962962963,0.1111111111111111,0.2962962962962963,-1.0,Unsuccessful
U00153,NaNi1/9Cu8/27Fe8/27Mn8/27O2,12,950,1.0,0.2962962962962963,2.0,0.2962962962962963,0.2962962962962963,0.1111111111111111,0.81,Successful
U00154,NaFe1/9Mn8/27Cu8/27Ni8/27O2,12,950,1.0,0.2962962962962963,2.0,0.1111111111111111,0.2962962962962963,0.2962962962962963,1.0,Successful
U00155,NaCu1/9Mn8/27Fe8/27Ni8/27O2,12,950,1.0,0.1111111111111111,2.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.92,Successful
U00156,NaFe7/18Ni7/18Cu1/9Mn1/9O2,12,950,1.0,0.1111111111111111,2.0,0.3888888888888889,0.1111111111111111,0.3888888888888889,-1.0,Unsuccessful
U00157,NaCu7/18Ni7/18Fe1/9Mn1/9O2,12,950,1.0,0.3888888888888889,2.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,-1.0,Unsuccessful
U00158,NaFe7/18Mn7/18Cu1/9Ni1/9O2,12,950,1.0,0.1111111111111111,2.0,0.3888888888888889,0.3888888888888889,0.1111111111111111,0.78,Successful
U00159,NaCu7/18Fe7/18Mn1/9Ni1/9O2,12,950,1.0,0.3888888888888889,2.0,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.17,Successful
U00160,NaMn7/18Ni7/18Fe1/9Cu1/9O2,12,950,1.0,0.1111111111111111,2.0,0.1111111111111111,0.3888888888888889,0.3888888888888889,1.0,Successful
U00161,NaCu7/18Mn7/18Fe1/9Ni1/9O2,12,950,1.0,0.3888888888888889,2.0,0.1111111111111111,0.3888888888888889,0.1111111111111111,1.0,Successful
U00162,Na0.75Mn2/3Cu1/6Fe1/6O2,12,950,0.75,0.16666666666666666,2.0,0.16666666666666666,0.6666666666666666,0.0,1.0,Successful
U00163,Na0.75Ni2/3Fe1/6Cu1/6O2,12,950,0.75,0.16666666666666666,2.0,0.16666666666666666,0.0,0.6666666666666666,-1.0,Unsuccessful
U00164,Na0.75Mn2/3Ni1/6Cu1/6O2,12,950,0.75,0.16666666666666666,2.0,0.0,0.6666666666666666,0.16666666666666666,1.0,Successful
U00165,Na0.75Mn2/3Fe1/6Ni1/6O2,12,950,0.75,0.0,2.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.0,Successful
U00166,Na0.75Fe2/3Cu1/6Mn1/6O2,12,950,0.75,0.16666666666666666,2.0,0.6666666666666666,0.16666666666666666,0.0,0.43,Successful
U00167,Na0.75Fe2/3Cu1/6Ni1/6O2,12,950,0.75,0.16666666666666666,2.0,0.6666666666666666,0.0,0.16666666666666666,-1.0,Unsuccessful
